City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Iqaluit,CA,24.8,overcast clouds,63.7506,-68.5145,Frobisher Inn
5,Atuona,PF,80.11,overcast clouds,-9.8,-139.0333,Villa Enata
6,New Norfolk,AU,57.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
7,Iracoubo,GF,78.82,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
8,Port Alfred,ZA,73.0,broken clouds,-33.5906,26.891,The Halyards Hotel
9,Ushuaia,AR,53.6,few clouds,-54.8,-68.3,Albatros Hotel
10,Rikitea,PF,77.72,light rain,-23.1203,-134.9692,Pension Maro'i
11,Hobart,AU,57.99,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Hermanus,ZA,69.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Homer,US,33.8,clear sky,59.6425,-151.5483,Beluga Lake Lodge
15,Bredasdorp,ZA,69.8,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
16,Cape Town,ZA,73.99,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
18,Praia Da Vitoria,PT,62.6,scattered clouds,38.7333,-27.0667,Hotel Branco I
19,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
21,Moratuwa,LK,78.8,clear sky,6.773,79.8816,Sa Mansion By Yoho
22,Le Moule,GP,77.0,broken clouds,16.3332,-61.3473,Lakaz Hananou
23,Busselton,AU,59.0,light rain,-33.65,115.3333,Observatory Guest House
25,Fairview,US,44.6,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
26,Lasa,IT,41.0,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
27,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Castillo Galapagos
28,Isangel,VU,77.79,clear sky,-19.55,169.2667,Volcano Sea View Tree House
29,Kamaishi,JP,39.76,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
30,East London,ZA,73.4,few clouds,-33.0153,27.9116,Tu Casa
31,Bengkulu,ID,76.37,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
33,Korla,CN,28.45,clear sky,41.7597,86.1469,Gulisitan Hotel
34,Chengde,CN,23.05,few clouds,40.9725,117.9361,Super 8 Hotel
35,Punta Arenas,CL,59.0,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
36,Rovinj,HR,55.4,overcast clouds,45.08,13.64,Hotel Monte Mulini
37,Tecpan,GT,75.2,clear sky,14.7623,-90.9947,San Ricardo Restaurante y Hotel
38,Yenagoa,NG,82.29,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
39,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
40,Bluff,NZ,53.69,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
41,Codrington,AU,57.92,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
42,Sterling,US,48.99,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
43,San Cristobal,VE,87.8,few clouds,7.7669,-72.225,Pirineos
44,Hilo,US,66.0,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
47,Andernach,DE,37.99,overcast clouds,50.4333,7.4,Parkhotel Am Schänzchen
48,Port Lincoln,AU,60.04,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
49,Ixtapa,MX,78.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
52,Castro,BR,76.33,clear sky,-24.7911,-50.0119,CHACARA BAILLY
54,Brookhaven,US,48.99,broken clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
55,Calamar,CO,86.0,few clouds,10.2511,-74.9146,Hostal Katyalex
56,Barrhead,GB,39.2,overcast clouds,55.7992,-4.3929,The Gleniffer
57,Xining,CN,22.51,overcast clouds,36.6167,101.7667,Super Leisure Hotel
58,Butaritari,KI,81.1,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
59,Mataura,NZ,52.38,clear sky,-46.1927,168.8643,Ellie's Villa
60,Meulaboh,ID,77.36,broken clouds,4.1363,96.1285,Kost Pria
61,Christchurch,NZ,60.01,overcast clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
63,Greenville,US,51.8,clear sky,35.6127,-77.3663,Holiday Inn Express Greenville
65,Saint Pete Beach,US,75.0,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
66,Margate,GB,44.01,light rain,51.3813,1.3862,Premier Inn Margate hotel
68,Upernavik,GL,20.57,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
69,Saldanha,ZA,69.8,broken clouds,-33.0117,17.9442,Blue Bay Lodge
70,Sao Joao Da Barra,BR,75.2,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
71,Jalu,LY,63.28,clear sky,29.0331,21.5482,صاحبة الفخامة
73,Dingle,PH,74.46,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
74,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
77,Jamestown,US,21.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Tuatapere,NZ,54.25,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
79,Constitucion,CL,65.7,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
80,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Beidao,CN,41.79,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
84,Ilulissat,GL,21.2,snow,69.2167,-51.1,Hotel Arctic
86,Kasulu,TZ,73.4,light rain,-4.5767,30.1025,Nazaret lodge
87,Mar Del Plata,AR,69.8,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
89,Copiapo,CL,69.8,clear sky,-27.3667,-70.3333,Antay Casino Hotel
91,Kang,BW,69.39,light rain,-23.6752,22.7876,Kang Ultra Stop
92,Rassvet,RU,27.79,overcast clouds,46.8333,40.75,Gostinitsa
94,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,Portland,US,45.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
96,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
97,Pontianak,ID,77.0,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
98,Bethel,US,41.0,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
99,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
100,Shawnee,US,25.0,snow,39.05,-95.7669,Fairfield Inn by Marriott Topeka
101,Airai,TL,60.19,overcast clouds,-8.9266,125.4092,Juvinal Martin
102,Kirkuk,IQ,56.01,overcast clouds,35.4681,44.3922,Cihad Oteli
103,Cidreira,BR,76.91,few clouds,-30.1811,-50.2056,Hotel Castelo
107,Klaksvik,FO,35.6,few clouds,62.2266,-6.589,Airbnb rooms
108,Qujing,CN,52.0,few clouds,25.4833,103.7833,Yulong Hotel
109,At-Bashi,KG,25.86,overcast clouds,41.1702,75.8106,Hostel At-Bashy
110,Ruidoso,US,45.0,clear sky,33.3317,-105.673,Inn of the Mountain Gods
111,Pisco,PE,75.2,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
115,Kapaa,US,57.2,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
118,Oistins,BB,84.2,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
119,Muswellbrook,AU,69.01,light rain,-32.2667,150.9,Wayfarer Motel
122,Hofn,IS,34.77,light snow,64.2539,-15.2082,Hótel Höfn
124,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
125,Victoria,HK,66.0,clear sky,22.2855,114.1577,Mini Hotel Central
126,Kavaratti,IN,81.21,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
127,Iranshahr,IR,62.6,clear sky,27.2025,60.6848,نیک سرشت
128,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
129,Kruisfontein,ZA,69.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
130,Manaure,CO,87.57,overcast clouds,11.7751,-72.4445,Hotel Palaaima
133,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
134,Ribeira Brava,PT,57.99,scattered clouds,32.65,-17.0667,Hotel do Campo
136,Faanui,PF,81.34,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
138,Bichena,ET,56.61,clear sky,10.45,38.2,yichalal hotel
139,Polson,US,32.0,light snow,47.6936,-114.1632,Americas Best Value Port Polson Inn
141,Pangkalanbuun,ID,74.95,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
146,Sao Filipe,CV,70.83,overcast clouds,14.8961,-24.4956,Tortuga B&B
147,Buta,CD,73.54,clear sky,2.7858,24.73,HOTEL BISO NA BISO
149,Fortuna,US,50.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
150,Shimoda,JP,49.14,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
151,Payakumbuh,ID,69.3,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
152,Kavieng,PG,81.63,broken clouds,-2.5744,150.7967,Nusa Island Retreat
153,Sakaiminato,JP,39.2,few clouds,35.55,133.2333,味処・民宿 まつや
154,Cabedelo,BR,87.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
155,Fallon,US,44.01,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
156,Hithadhoo,MV,81.45,few clouds,-0.6,73.0833,Scoop Guest House
157,Port Elizabeth,ZA,69.8,overcast clouds,-33.918,25.5701,39 On Nile Guest House
159,Rawson,AR,64.58,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
160,Pula,HR,55.4,overcast clouds,44.8683,13.8481,Park Plaza Histria Pula
161,Sawakin,SD,73.15,clear sky,19.1059,37.3321,فندق الدويم
162,Ambanja,MG,76.06,light rain,-13.6833,48.45,Hotel Salama and Fast Food
164,Kismayo,SO,77.0,broken clouds,-0.3582,42.5454,Agan-Hotel
165,Kantunilkin,MX,86.0,scattered clouds,21.0917,-87.45,Posada Paraiso
166,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Beach Rotana
167,Podborany,CZ,28.99,light snow,50.2294,13.4119,Hotel & Motorest V Údolí Zlatého potoka
168,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
169,Roald,NO,23.0,clear sky,62.5833,6.1333,Flem Cabins
170,Baringo,KE,78.24,overcast clouds,0.4667,35.9667,Country Legend Resort
171,Sainte-Suzanne,RE,78.8,moderate rain,-20.9061,55.6089,Gites Ango
172,Honiara,SB,77.14,light rain,-9.4333,159.95,Heritage Park Hotel
173,Nanakuli,US,69.8,overcast clouds,21.3906,-158.1547,Camp Pālehua
174,Tasiilaq,GL,32.0,light rain,65.6145,-37.6368,The Red House
175,Sorland,NO,34.84,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
176,Bacolod,PH,76.95,overcast clouds,10.6667,122.95,Planta Hotel & Residences
178,Sitka,US,35.6,light snow,57.0531,-135.33,Westmark Sitka
179,Torbay,CA,35.6,light rain,47.6666,-52.7314,Gallows Cove
180,Ponta Do Sol,PT,57.99,scattered clouds,32.6667,-17.1,Hotel do Campo
183,Sibolga,ID,76.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
185,Severo-Kurilsk,RU,20.66,light snow,50.6789,156.125,Kak Doma
187,Bikaner,IN,58.39,clear sky,28.0167,73.3,The Laxmi Niwas Palace
188,Broome,US,32.0,scattered clouds,42.2506,-75.833,Chenango Valley State Park
190,Lebu,CL,62.64,broken clouds,-37.6167,-73.65,Hostal Las Lilas
192,Arraial Do Cabo,BR,75.2,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
194,Barabinsk,RU,31.03,overcast clouds,55.3571,78.357,"Gostinitsa ""Noy"""
195,Dicabisagan,PH,75.36,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
197,Kaitangata,NZ,52.27,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
198,Yichang,CN,48.0,scattered clouds,30.7144,111.2847,Gezhouba Hotel
199,Seoul,KR,44.6,fog,37.5683,126.9778,Lotte Hotel Seoul
200,Narsaq,GL,33.8,clear sky,60.9167,-46.05,Hotel Narsaq
201,Am Timan,TD,74.44,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
202,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
203,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
204,Kaspiyskiy,RU,32.47,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
205,Riviere-Au-Renard,CA,32.0,light snow,48.9957,-64.3971,Auberge Le Caribou
207,Longyearbyen,SJ,23.0,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
208,Denizli,TR,42.8,clear sky,37.8402,29.0698,Anemon Denizli Hotel
209,Budaun,IN,53.78,clear sky,28.05,79.1167,Hotel J.P. Palace
210,Chuy,UY,83.3,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
214,Gudur,IN,68.18,few clouds,14.1333,79.85,BALAJI KITCHENS
215,Maragogi,BR,83.05,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
216,Aswan,EG,65.16,clear sky,24.0934,32.907,Nuba Nile
217,Byron Bay,AU,69.8,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
219,Nedjo,ET,59.43,overcast clouds,9.5046,35.5019,Yerosan Hotel
220,Mount Gambier,AU,55.4,overcast clouds,-37.8333,140.7667,Commodore on the Park
221,Ahipara,NZ,60.01,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
223,Bac Lieu,VN,75.47,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
224,Monrovia,LR,78.8,broken clouds,6.3005,-10.7969,Sunset Inn
225,Evans,US,51.01,light rain,33.5337,-82.1307,Wymberly
226,Rumoi,JP,21.7,overcast clouds,43.9344,141.6428,Business Hotel R-Inn
227,Poum,NC,79.9,clear sky,-20.2333,164.0167,Gîte kajeon
228,Mindelo,CV,71.6,broken clouds,16.8901,-24.9804,Hotel Gaudi
229,Sheopur,IN,55.94,clear sky,25.6667,76.7,Shri Ram Dharmshala
230,Atambua,ID,73.4,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
231,Landeck,AT,41.0,scattered clouds,47.1301,10.5636,Hotel Jägerhof
232,Maniitsoq,GL,25.16,clear sky,65.4167,-52.9,Hotel Heilmann Lyberth
234,Vestmannaeyjar,IS,37.4,few clouds,63.4427,-20.2734,Glamping & Camping
235,Benghazi,LY,65.07,overcast clouds,32.1167,20.0667,Tibesti Hotel
236,Uthal,PK,59.22,clear sky,25.8072,66.6219,Al Madina Hotal
237,Beaumont,US,60.8,overcast clouds,30.0861,-94.1019,Super 8 by Wyndham Beaumont
238,Geraldton,AU,69.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
240,Kodiak,US,28.4,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
241,Ilhabela,BR,78.17,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
243,Kaeo,NZ,60.01,overcast clouds,-35.1,173.7833,Bushido Lodge
244,Jijiga,ET,60.58,clear sky,9.35,42.8,RAMAAS HOTEL
245,Veshenskaya,RU,21.61,light snow,49.6303,41.7334,Kazachiy Kuren Inn
246,Guia De Isora,ES,66.2,scattered clouds,28.2115,-16.7795,La Vista Pension
248,Khorramabad,IR,44.55,overcast clouds,33.4878,48.3558,Azadi Hotel
251,Huntington,US,45.0,clear sky,38.4193,-82.4452,Ramada Limited Huntington
258,Darlowo,PL,26.01,light snow,54.421,16.4107,Hotel Lidia SPA & Wellness
259,Pomabamba,PE,62.02,moderate rain,-8.8333,-77.4667,VIVIENDA - ELSA CABELLO
260,Coihaique,CL,73.4,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
261,Lompoc,US,63.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
262,Miramar,US,80.6,moderate rain,25.9873,-80.2323,Stadium Hotel
263,Coquimbo,CL,68.0,few clouds,-29.9533,-71.3436,Hotel San Juan
264,Namibe,AO,72.14,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
265,Phalaborwa,ZA,75.2,overcast clouds,-23.943,31.1411,Amarula Guest House
268,Singkawang,ID,75.43,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
269,Port-Gentil,GA,82.4,moderate rain,-0.7193,8.7815,Fengshui Residence
270,Bilma,NE,67.95,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
271,Hambantota,LK,73.4,few clouds,6.1241,81.1185,Bungalow 63
272,Naze,JP,60.75,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
273,Papara,BR,87.8,scattered clouds,-3.9839,-38.7273,Romin
275,Rincon,US,50.0,overcast clouds,32.296,-81.2354,Bent tree subdivision
279,Buraydah,SA,51.8,broken clouds,26.326,43.975,Mövenpick Hotel Qassim
281,Saint-Philippe,RE,79.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
282,Sechura,PE,83.39,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
283,Yulara,AU,73.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
285,Ploemeur,FR,44.01,few clouds,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
286,Gizo,SB,82.72,light rain,-8.103,156.8419,Imagination Island
287,Caravelas,BR,79.11,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
288,Viedma,AR,78.01,clear sky,-40.8135,-62.9967,Hotel Cristal
289,Calama,CL,75.2,clear sky,-22.4667,-68.9333,Park Hotel Calama
291,Caranavi,BO,80.19,overcast clouds,-15.8167,-67.55,Hotel Landivar
292,Buala,SB,80.42,light rain,-8.145,159.5921,Maringe Lagoon Lodge
293,Aquiraz,BR,87.8,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
297,Nouadhibou,MR,68.0,sand,20.931,-17.0347,El Medina
298,Fukue,JP,55.78,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
299,Grindavik,IS,35.6,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
301,Tautira,PF,75.2,light rain,-17.7333,-149.15,Pension Oaoa
302,Waingapu,ID,77.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
303,Antofagasta,CL,73.99,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
307,Nuuk,GL,24.8,clear sky,64.1835,-51.7216,Vandrehuset
308,Taltal,CL,69.4,few clouds,-25.4,-70.4833,Residencial Karime
310,Nanortalik,GL,22.62,clear sky,60.1432,-45.2371,Hotel Kap Farvel
311,San Quintin,MX,63.9,clear sky,30.4833,-115.95,Old Mill Hotel
312,Naranjal,EC,86.0,broken clouds,-2.6667,-79.6167,Media Naranja
313,Phaltan,IN,69.58,clear sky,17.9833,74.4333,Hotel New Vijay
314,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
316,Faya,SA,51.8,few clouds,18.3851,42.4509,مقبرة ال مجمل
317,La Roche-Sur-Yon,FR,44.6,light intensity drizzle,46.6667,-1.4333,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)"
318,Kailua,US,66.2,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
319,Matay,EG,59.27,clear sky,28.419,30.7792,Nag Aespen
321,Shingu,JP,44.51,clear sky,33.7333,135.9833,Shingu UI Hotel
322,Elizabeth City,US,55.0,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
324,Gombe,NG,87.8,haze,10.2897,11.1673,Custodian Hotel Gombe
325,Vaitape,PF,81.34,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
327,Nantucket,US,43.0,clear sky,41.2835,-70.0995,Jared Coffin House
329,Sambava,MG,78.62,overcast clouds,-14.2667,50.1667,Melrose
330,Burnie,AU,61.0,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
331,Ulladulla,AU,66.0,scattered clouds,-35.35,150.4667,Sandpiper Motel
334,Port Augusta,AU,64.4,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
336,Ambovombe,MG,77.61,light rain,-25.1667,46.0833,RELAHARA
337,Flinders,AU,64.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
338,Lugovoy,KZ,39.15,light rain,42.9472,72.7644,Ж.Д Вокзал Луговая
339,Reinosa,ES,46.99,overcast clouds,42.9996,-4.138,Hotel Vejo
340,Lianzhou,CN,62.13,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
341,Santa Marta,CO,89.01,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
342,Marrakesh,MA,50.0,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
